constituency,candidate,party,"Total Votes"
"MADURAVOYAL - 7","D. ANANDAN",Independent,67
"MADURAVOYAL - 7","K. GANAPATHY",Independent,99
"MADURAVOYAL - 7","V. KAMALA KANNAN",Independent,119
"MADURAVOYAL - 7","SARAVANAN KUMAR",Independent,78
"MADURAVOYAL - 7","R. SIVA",Independent,322
"MADURAVOYAL - 7","M. BALASUBRAMANIAN",Independent,67
"MADURAVOYAL - 7","S. BENJAMIN MOSES",Independent,207
"MADURAVOYAL - 7","PONMUTHU RAMESH",Independent,202
"MADURAVOYAL - 7","N.A. MANI",Independent,157
"MADURAVOYAL - 7","R. YUVARAJ",Independent,84
"MADURAVOYAL - 7","VIGNESH NANDAGOPAL",Independent,83
"MADURAVOYAL - 7","M. JAMES",Independent,34
"MADURAVOYAL - 7",NOTA,"None of the Above",1462
"AMBATTUR - 8",SILAMBARASAN,"Naam Tamilar Katchi",11088
"AMBATTUR - 8","DR. J.SAILAS","Bahujan Samaj Party",443
"AMBATTUR - 8","DR A.P. POORNIMA","Dravida Munnetra Kazhagam",74558
"AMBATTUR - 8",A.KALYANASUNDARAM,"Nationalist Janshakti Party",588
"AMBATTUR - 8","K.N. SEKAR","Pattali Makkal Katchi",35997
"AMBATTUR - 8",BALAMURUGAN.G,"Tamilaga Vettri Kazhagam",133339
"AMBATTUR - 8","V. RAMKUMAR","India Suyarajya Party",224
"AMBATTUR - 8",RAJKUMAR,"Tamizhaga Vaazhvurimai Katchi",127
"AMBATTUR - 8","D. JEYAGANESH","Naam Indiar Party",67
"AMBATTUR - 8","M.S. ARUMUGAM",Independent,135
"AMBATTUR - 8","P. ARUMUGAM",Independent,77
"AMBATTUR - 8","G. SAMPATH",Independent,72
"AMBATTUR - 8","K. SEKAR",Independent,127
"AMBATTUR - 8","G.P. SEKAR",Independent,103
"AMBATTUR - 8",PALANI,Independent,103
"AMBATTUR - 8",R.BALAMURUGAN,Independent,493
"AMBATTUR - 8","DR. S.PRAVEEN",Independent,308
"AMBATTUR - 8","D. PUSHPA",Independent,68
"AMBATTUR - 8","S. MADHAVAN",Independent,179
"AMBATTUR - 8","D.K.MESHACK KIRUBAKARAN",Independent,102
"AMBATTUR - 8",VINAYAGAMOORTHY.R,Independent,83
"AMBATTUR - 8","S. JANARTHANAN",Independent,126
"AMBATTUR - 8",JOTHI.M,Independent,89
"AMBATTUR - 8",NOTA,"None of the Above",1490
"MADAVARAM - 9",E.KRITHIKA,"Naam Tamilar Katchi",12637
"MADAVARAM - 9",S.SUDHARSANAM,"Dravida Munnetra Kazhagam",95477
"MADAVARAM - 9","MADHAVARAM V.MOORTHY","All India Anna Dravida Munnetra Kazhagam",59290
"MADAVARAM - 9",N.JANAKIRAMAN,"Bahujan Samaj Party",537
"MADAVARAM - 9",R.KARTHIKEYAN,"Tamizhaga Vaazhvurimai Katchi",232
"MADAVARAM - 9",I.RAFFIK,"Naadaalum Makkal Katchi",676
"MADAVARAM - 9",M.L.VIJAYPRABHU,"Tamilaga Vettri Kazhagam",190462
"MADAVARAM - 9",S.SIVAKUMAR,Independent,198
"MADAVARAM - 9",SUDARSANAM,Independent,157
"MADAVARAM - 9",A.NAGARAJAN,Independent,177
"MADAVARAM - 9",R.S.BALAJI,Independent,99
"MADAVARAM - 9",G.PRABU,Independent,191
"MADAVARAM - 9",A.PONNALAGAN,Independent,129
"MADAVARAM - 9",C.MOORTHY,Independent,154
"MADAVARAM - 9",V.MURTHY,Independent,188
"MADAVARAM - 9",NOTA,"None of the Above",1394
"THIRUVOTTIYUR - 10","KUPPAN. K","All India Anna Dravida Munnetra Kazhagam",28320
"THIRUVOTTIYUR - 10","SATHYA. B","Naam Tamilar Katchi",8413
"THIRUVOTTIYUR - 10","SUNDARARAJ. L","Communist Party of India (Marxist)",56503
"THIRUVOTTIYUR - 10","MAHENDRA KUMAR. D","Bahujan Samaj Party",458
"THIRUVOTTIYUR - 10","SASIREKHA. M","Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi",271
"THIRUVOTTIYUR - 10","SENTHIL KUMAR. N","Tamilaga Vettri Kazhagam",110067
"THIRUVOTTIYUR - 10","DILLI KUMAR. R","Democratic National Allegiance",198
"THIRUVOTTIYUR - 10","VENKATARAMANAN. J","Tamizhaga Vaazhvurimai Katchi",149
"THIRUVOTTIYUR - 10","ARAVIND. R",Independent,77
"THIRUVOTTIYUR - 10","GOPI. K",Independent,117
"THIRUVOTTIYUR - 10","THANIKASALAM. B",Independent,139
"THIRUVOTTIYUR - 10",BALARUBAN,Independent,307
"THIRUVOTTIYUR - 10","MICHAELRAJ. M. A",Independent,838
"THIRUVOTTIYUR - 10","VIJAY. A",Independent,316
"THIRUVOTTIYUR - 10",JANAGARAJ,Independent,110
"THIRUVOTTIYUR - 10",NOTA,"None of the Above",805
"DR.RADHAKRISHNAN NAGAR - 11",R.S.RAAJESH,"All India Anna Dravida Munnetra Kazhagam",26892
"DR.RADHAKRISHNAN NAGAR - 11",VENNILA.T,"Naam Tamilar Katchi",5364
"DR.RADHAKRISHNAN NAGAR - 11","J. JOHN EBENEZER","Dravida Munnetra Kazhagam",48132
"DR.RADHAKRISHNAN NAGAR - 11","E. RAAMADASAN","Makkal Nalvaazhvuk Katchi",236
