constituency,candidate,party,"Total Votes"
"KOLATHUR - 13",OORMILA,"Tamizhaga Vaazhvurimai Katchi",105
"KOLATHUR - 13","K. ELUMALAI","Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi",24
"KOLATHUR - 13",SIVAGNANASAM,"Desiya Makkal Sakthi Katchi",26
"KOLATHUR - 13","S.Y. SYED YUSUF","Republican Party of India (Athawale)",484
"KOLATHUR - 13","V. S. BABU","Tamilaga Vettri Kazhagam",82997
"KOLATHUR - 13","ARUL DOSS. A.",Independent,55
"KOLATHUR - 13","KAJA MAIDEEN",Independent,43
"KOLATHUR - 13","V. A. SUDHAKAR",Independent,31
"KOLATHUR - 13","M. SURESH",Independent,33
"KOLATHUR - 13","J. SURIYA MUTHU",Independent,84
"KOLATHUR - 13","R. SENTHIL KUMAR",Independent,125
"KOLATHUR - 13","SELVI STEFFI. V. M",Independent,122
"KOLATHUR - 13","NANDA KUMAR",Independent,79
"KOLATHUR - 13","A. L. NARESH KUMAR",Independent,74
"KOLATHUR - 13","V. NARESH BABU",Independent,52
"KOLATHUR - 13","K. PANNEER SELVAM",Independent,50
"KOLATHUR - 13","S. BALACHANDAR",Independent,13
"KOLATHUR - 13","R. BALAJI",Independent,21
"KOLATHUR - 13","M. POORNIMA",Independent,56
"KOLATHUR - 13","R. MAHESH",Independent,64
"KOLATHUR - 13","P. MILANY",Independent,56
"KOLATHUR - 13","R. RAVIKUMAR",Independent,34
"KOLATHUR - 13","R. RAJ GURU",Independent,153
"KOLATHUR - 13","RAJA. G.",Independent,28
"KOLATHUR - 13","A. RAJI",Independent,23
"KOLATHUR - 13","M. RAJESHKUMAR",Independent,73
"KOLATHUR - 13",VIGIRDHAN,Independent,53
"KOLATHUR - 13","FARMER JAYARAMAN. S K J.",Independent,22
"KOLATHUR - 13","S. SHARAN",Independent,35
"KOLATHUR - 13",NOTA,"None of the Above",892
"VILLIVAKKAM - 14","KARTHIK MOHAN","Dravida Munnetra Kazhagam",49143
"VILLIVAKKAM - 14","ROSHINI S","Naam Tamilar Katchi",4310
"VILLIVAKKAM - 14","VIJAYAKUMAR S.R","All India Anna Dravida Munnetra Kazhagam",19338
"VILLIVAKKAM - 14","ABDUL SHABEEK A","Tamizhaga Vaazhvurimai Katchi",147
"VILLIVAKKAM - 14","AJITHKUMAR A","Thakkam Katchi",147
"VILLIVAKKAM - 14","AADHAV ARJUNA","Tamilaga Vettri Kazhagam",66445
"VILLIVAKKAM - 14","ASHOK KUMAR C.A",Independent,99
"VILLIVAKKAM - 14","ANBAZHAGAN G",Independent,33
"VILLIVAKKAM - 14","KANNAN M",Independent,58
"VILLIVAKKAM - 14","KANDASAMY S",Independent,42
"VILLIVAKKAM - 14","KARTHICK S",Independent,48
"VILLIVAKKAM - 14","KARTHICK P",Independent,71
"VILLIVAKKAM - 14","SHANMUGA D",Independent,107
"VILLIVAKKAM - 14","CHARAVANAN M.P",Independent,29
"VILLIVAKKAM - 14","SOLOMON J.R",Independent,51
"VILLIVAKKAM - 14","SUBRAMANI K",Independent,77
"VILLIVAKKAM - 14","DHAYANIDHI D",Independent,184
"VILLIVAKKAM - 14","DEVARAJAN G",Independent,62
"VILLIVAKKAM - 14","BALAMURALI G",Independent,50
"VILLIVAKKAM - 14","PURUSHOTHAMAN P",Independent,10
"VILLIVAKKAM - 14","MANIMARAN P",Independent,25
"VILLIVAKKAM - 14","MURALI R",Independent,88
"VILLIVAKKAM - 14","MURALI VINODH M",Independent,28
"VILLIVAKKAM - 14","YUVARAJ S",Independent,32
"VILLIVAKKAM - 14","RAJI M",Independent,9
"VILLIVAKKAM - 14","VIJAYAKUMAR G",Independent,46
"VILLIVAKKAM - 14","VIJAYAKUMAR D",Independent,30
"VILLIVAKKAM - 14","JAYA ZEBA C",Independent,48
"VILLIVAKKAM - 14",NOTA,"None of the Above",695
"THIRU-VI-KA-NAGAR - 15","K. S. RAVICHANDRAN","Dravida Munnetra Kazhagam",46792
"THIRU-VI-KA-NAGAR - 15","PORKODI ARMSTRONG","All India Anna Dravida Munnetra Kazhagam",23304
"THIRU-VI-KA-NAGAR - 15","JAGADESH CHANDER .M","Naam Tamilar Katchi",2658
"THIRU-VI-KA-NAGAR - 15","C. CHRISTY","All India Puratchi Thalaivar Makkal Munnettra Kazhagam",94
"THIRU-VI-KA-NAGAR - 15","A. SELVA KUMAR","Thakkam Katchi",170
"THIRU-VI-KA-NAGAR - 15","M. R. PALLAVI","Tamilaga Vettri Kazhagam",69125
"THIRU-VI-KA-NAGAR - 15","S JAYAKALPANA","Republican Party of India (Athawale)",350
"THIRU-VI-KA-NAGAR - 15","R. ANANDAN",Independent,29
"THIRU-VI-KA-NAGAR - 15","M. KANNADASAN",Independent,23
"THIRU-VI-KA-NAGAR - 15","M. KOLANJI",Independent,77
"THIRU-VI-KA-NAGAR - 15","D. SATHISH KUMAR",Independent,40
"THIRU-VI-KA-NAGAR - 15",SATHISH,Independent,21
"THIRU-VI-KA-NAGAR - 15","S. SENTHAMIZHAN",Independent,18
"THIRU-VI-KA-NAGAR - 15","G. J. DHARANIRAJ",Independent,27
"THIRU-VI-KA-NAGAR - 15","S. PARTHIBAN",Independent,45
"THIRU-VI-KA-NAGAR - 15","PRAKASH ARUNACHALAM",Independent,134
"THIRU-VI-KA-NAGAR - 15","PRASANTH. D",Independent,134
"THIRU-VI-KA-NAGAR - 15","PRAVEEN THIYAGARAJAN",Independent,70
"THIRU-VI-KA-NAGAR - 15","R. MURUGAN",Independent,32
"THIRU-VI-KA-NAGAR - 15","M. MOHAN",Independent,15
"THIRU-VI-KA-NAGAR - 15","S. RAJENDRAN",Independent,40
"THIRU-VI-KA-NAGAR - 15","M. LOKESH",Independent,127
"THIRU-VI-KA-NAGAR - 15","C. JAGAN MOHAN",Independent,51
"THIRU-VI-KA-NAGAR - 15",NOTA,"None of the Above",527
"EGMORE - 16","ABISHEK. R","All India Anna Dravida Munnetra Kazhagam",18191
"EGMORE - 16","SARANYA IMRAN","Naam Tamilar Katchi",2522
"EGMORE - 16","TAMILAN PRASANNA","Dravida Munnetra Kazhagam",43097
"EGMORE - 16","ARUN RAO. N.A","Naam Indiar Party",152
"EGMORE - 16","DR.N. GUNASEKAR","Republican Party of India (Athawale)",209
"EGMORE - 16","D. THIRUNAVUKKARASAR","Tamizhaga Vaazhvurimai Katchi",111
"EGMORE - 16","T. MAGIZHANBAN","All India Puratchi Thalaivar Makkal Munnettra Kazhagam",99
"EGMORE - 16","G.R. RAJENDRAN","National Maha Sabha Party",173
"EGMORE - 16",RAJMOHAN,"Tamilaga Vettri Kazhagam",53901
"EGMORE - 16",ARAVINDAN,Independent,65
"EGMORE - 16","R. KUMARAVEL",Independent,41
"EGMORE - 16","M. NAGARAJAN",Independent,54
"EGMORE - 16","S. PICHAMUTHU",Independent,51
"EGMORE - 16",RAJKUMAR,Independent,44
"EGMORE - 16",RAJMOHAN,Independent,92
"EGMORE - 16","S. VINOTH KUMAR",Independent,155
"EGMORE - 16","VENKATESH. K",Independent,60
"EGMORE - 16","SRIDHAR. M",Independent,26
"EGMORE - 16",NOTA,"None of the Above",695
"ROYAPURAM - 17","DR. A. SUBAIR KHAN","Dravida Munnetra Kazhagam",44842
"ROYAPURAM - 17","A. BABU MAILAN","Naam Tamilar Katchi",2947
"ROYAPURAM - 17","D. JAYAKUMAR","All India Anna Dravida Munnetra Kazhagam",18420
"ROYAPURAM - 17","M. JAYARAJKUMAR","Bahujan Samaj Party",222
"ROYAPURAM - 17","A. SATHIK KUMAR","Democratic National Allegiance",63
"ROYAPURAM - 17","M. RAJKUMAR","Tamizhaga Vaazhvurimai Katchi",83
"ROYAPURAM - 17","R. VINOTHKUMAR","Naam Indiar Party",149
"ROYAPURAM - 17","K.V. VIJAY DAMU","Tamilaga Vettri Kazhagam",59091
"ROYAPURAM - 17","T. KAVIYARASU",Independent,64
"ROYAPURAM - 17","G. KARTHIKEYAN",Independent,40
"ROYAPURAM - 17","KERTHIVARUNNAN .R",Independent,38
"ROYAPURAM - 17","A. SASIKUMAR",Independent,37
"ROYAPURAM - 17","M. SHANMUGAM",Independent,20
"ROYAPURAM - 17","K.J. SIVAKUMAR",Independent,31
"ROYAPURAM - 17","P. SUMATHI",Independent,49
"ROYAPURAM - 17","J. SELVAKUMAR",Independent,84
"ROYAPURAM - 17","M DHINAKARAN",Independent,216
"ROYAPURAM - 17","A. NIZAR AHAMED",Independent,37
"ROYAPURAM - 17","V. BHAGATH SINGH",Independent,62
"ROYAPURAM - 17","K. PRASATH",Independent,36
"ROYAPURAM - 17","M. MAHALAKSHMI",Independent,30
"ROYAPURAM - 17","S. RAJU",Independent,13
"ROYAPURAM - 17","T. RAJESH",Independent,52
"ROYAPURAM - 17","R. RAJKUMAR",Independent,99
"ROYAPURAM - 17","A. JAYAKUMAR",Independent,35
"ROYAPURAM - 17","D. JAYAKUMAR",Independent,76
"ROYAPURAM - 17","I JAYAPRAKASH",Independent,34
"ROYAPURAM - 17","C. SRIDHAR",Independent,27
"ROYAPURAM - 17",NOTA,"None of the Above",459
"HARBOUR - 18","M SURESH","Bahujan Samaj Party",232
"HARBOUR - 18","P K SEKARBABU","Dravida Munnetra Kazhagam",45254
"HARBOUR - 18","R FOUZAN SHARIFF","Naam Tamilar Katchi",1607
"HARBOUR - 18","R MANOHAR","All India Anna Dravida Munnetra Kazhagam",17256
"HARBOUR - 18","SINORA P S ASHOK","Tamilaga Vettri Kazhagam",33504
"HARBOUR - 18","SIVALINGAM ASHOK",Independent,291
"HARBOUR - 18","ASHOK KUMAR",Independent,76
"HARBOUR - 18","S GANESH",Independent,65
"HARBOUR - 18","D KABILAN",Independent,22
"HARBOUR - 18","M KALAIVENTHAN",Independent,18
"HARBOUR - 18","SANKAR A",Independent,197
"HARBOUR - 18","J SHANMUGAPRIYAN",Independent,28
"HARBOUR - 18","R DINESH",Independent,20
"HARBOUR - 18","J M NIRAIMOZHI",Independent,34
"HARBOUR - 18","A NEPOLIAN",Independent,30
"HARBOUR - 18","BABU SINGH",Independent,108
"HARBOUR - 18","K E MANOHAR",Independent,56
"HARBOUR - 18","G VISU",Independent,73
"HARBOUR - 18","I VINOD",Independent,10
"HARBOUR - 18","P VIJAYAKUMAR",Independent,46
"HARBOUR - 18","T VIJAYARAJ",Independent,53
"HARBOUR - 18","S VEERABATHRAN",Independent,16
"HARBOUR - 18","V JAGADEESAN",Independent,26
"HARBOUR - 18",NOTA,"None of the Above",600
"CHEPAUK-THIRUVALLIKENI - 19",AADIRAJARAM,"All India Anna Dravida Munnetra Kazhagam",16507
"CHEPAUK-THIRUVALLIKENI - 19",AYSHA,"Naam Tamilar Katchi",2971
"CHEPAUK-THIRUVALLIKENI - 19","UDHAYANIDHI STALIN","Dravida Munnetra Kazhagam",62992
"CHEPAUK-THIRUVALLIKENI - 19","MOHAMMED YASSER","Bahujan Samaj Party",244
"CHEPAUK-THIRUVALLIKENI - 19","IRFAN BASHA","Tamizhaga Vaazhvurimai Katchi",145
"CHEPAUK-THIRUVALLIKENI - 19","SELVAM. D","Tamilaga Vettri Kazhagam",55852
"CHEPAUK-THIRUVALLIKENI - 19","AGNI AALVAR",Independent,243
"CHEPAUK-THIRUVALLIKENI - 19",ATHIMULAM,Independent,30
"CHEPAUK-THIRUVALLIKENI - 19",AYISHA,Independent,72
"CHEPAUK-THIRUVALLIKENI - 19","ARUMUGAM. C",Independent,25
"CHEPAUK-THIRUVALLIKENI - 19","KUMAR. M",Independent,33
"CHEPAUK-THIRUVALLIKENI - 19","SAAMY. S.K. DR",Independent,40
"CHEPAUK-THIRUVALLIKENI - 19","SEENIVASAN. L",Independent,29
"CHEPAUK-THIRUVALLIKENI - 19","SELVAM. K",Independent,43
"CHEPAUK-THIRUVALLIKENI - 19","SELVAM. K",Independent,37
"CHEPAUK-THIRUVALLIKENI - 19","SYEED LAYAK BHASHA",Independent,83
"CHEPAUK-THIRUVALLIKENI - 19","BHARATHKUMAR. G",Independent,69
"CHEPAUK-THIRUVALLIKENI - 19","MILANY. P",Independent,30
"CHEPAUK-THIRUVALLIKENI - 19","MIRZA SAFDER ALI",Independent,185
"CHEPAUK-THIRUVALLIKENI - 19","MOHAMED DHARIK. I",Independent,38
"CHEPAUK-THIRUVALLIKENI - 19","MOHAMED MEERA. A",Independent,68
"CHEPAUK-THIRUVALLIKENI - 19","RAJASEKAR. S",Independent,115
"CHEPAUK-THIRUVALLIKENI - 19","RAJESHKUMAR. K",Independent,154
"CHEPAUK-THIRUVALLIKENI - 19","VIJAYA KUMAR. B",Independent,34
"CHEPAUK-THIRUVALLIKENI - 19","SELVAM ( ALIAS ) VENKATESH",Independent,26
"CHEPAUK-THIRUVALLIKENI - 19","SELVAM ( ALIAS ) HARINARAYANAN",Independent,33
"CHEPAUK-THIRUVALLIKENI - 19",NOTA,"None of the Above",643
"THOUSAND LIGHTS - 20","EZHILAN NAGANATHAN","Dravida Munnetra Kazhagam",43824
"THOUSAND LIGHTS - 20",KALANCHIYAM.MU,"Naam Tamilar Katchi",3717
"THOUSAND LIGHTS - 20",VALARMATHI.B,"All India Anna Dravida Munnetra Kazhagam",23320
"THOUSAND LIGHTS - 20",PRABHAKAR.J.C.D,"Tamilaga Vettri Kazhagam",58965
"THOUSAND LIGHTS - 20","MOHAMED GHOUSE.H","Tamizhaga Vaazhvurimai Katchi",203
"THOUSAND LIGHTS - 20",KARTHIKEYAN.S,Independent,61
"THOUSAND LIGHTS - 20",SHANKAR.V,Independent,42
"THOUSAND LIGHTS - 20",SATHYA.A,Independent,165
"THOUSAND LIGHTS - 20","SUNDARA RAJU.A",Independent,48
"THOUSAND LIGHTS - 20",DHANASEKARAN.V,Independent,23
"THOUSAND LIGHTS - 20",PACHAIYAPPAN.E,Independent,20
"THOUSAND LIGHTS - 20",PRABHAKARAN.T,Independent,36
"THOUSAND LIGHTS - 20",PRABHAKARAN.B,Independent,64
"THOUSAND LIGHTS - 20",PRABHAKARAN.V,Independent,63
"THOUSAND LIGHTS - 20",MUNIYAN.E,Independent,28
"THOUSAND LIGHTS - 20",VALARMATHI.E,Independent,245
"THOUSAND LIGHTS - 20",VALARMATHY.D,Independent,102
"THOUSAND LIGHTS - 20",VIJAY.D,Independent,83
"THOUSAND LIGHTS - 20",NOTA,"None of the Above",815
"ANNA NAGAR - 21","S.GOKULA INDIRA","All India Anna Dravida Munnetra Kazhagam",34382
"ANNA NAGAR - 21",S.SHANKAR,"Naam Tamilar Katchi",4839
"ANNA NAGAR - 21",N.CHITRARASU,"Dravida Munnetra Kazhagam",50012
"ANNA NAGAR - 21",B.ANAND,"Thakkam Katchi",127
"ANNA NAGAR - 21",S.DHAYALAN,"Thamizhaga Munnetra Congress",186
"ANNA NAGAR - 21",V.K.RAMKUMAR,"Tamilaga Vettri Kazhagam",71375
"ANNA NAGAR - 21","E.V.S.RAJAKUMAR NAIDU","Tamil Telugu National Party",134
"ANNA NAGAR - 21",N.P.RAJHA,"Naam Indiar Party",23
"ANNA NAGAR - 21","T S HABEEB MOHAMMAD",Independent,131
"ANNA NAGAR - 21","S ANSAR ALI",Independent,27
"ANNA NAGAR - 21","G OMPRAKASH",Independent,41
"ANNA NAGAR - 21","L KASINATHAN",Independent,50
"ANNA NAGAR - 21","S SATHISH KUMAR",Independent,50
"ANNA NAGAR - 21","G.SIVA KUMAR",Independent,58
"ANNA NAGAR - 21","M SELVAMUTHUKUMAR",Independent,36
"ANNA NAGAR - 21","L NARENDRAN",Independent,129
"ANNA NAGAR - 21","J NAGARAJ",Independent,126
"ANNA NAGAR - 21","M MANOHARAN",Independent,27
"ANNA NAGAR - 21","MOHAMMED BILAL FATHICK",Independent,101
"ANNA NAGAR - 21","RAMAMOORTHY E",Independent,35
"ANNA NAGAR - 21","RAJENDIRAN NAIDU",Independent,70
"ANNA NAGAR - 21","S VINESH KUMAR",Independent,289
"ANNA NAGAR - 21","JANARTHANAN P",Independent,71
"ANNA NAGAR - 21","M HARISHANKAR",Independent,57
"ANNA NAGAR - 21",NOTA,"None of the Above",963
"VIRUGAMPAKKAM - 22",SANTHOSH,"Naam Tamilar Katchi",6056
"VIRUGAMPAKKAM - 22","PRABHAKARA RAJA.A.M.V","Dravida Munnetra Kazhagam",49006
"VIRUGAMPAKKAM - 22","VIRUGAI V.N.RAVI","All India Anna Dravida Munnetra Kazhagam",38767
"VIRUGAMPAKKAM - 22",SABARINATHAN.R,"Tamilaga Vettri Kazhagam",76092
"VIRUGAMPAKKAM - 22",SURESHBABU.T.M,"Tamil Telugu National Party",155
"VIRUGAMPAKKAM - 22",BALAMURUGAN.P,"Naam Indiar Party",40
"VIRUGAMPAKKAM - 22",MUTHURAJ.T,"Tamizhaga Vaazhvurimai Katchi",101
"VIRUGAMPAKKAM - 22","ROY GEORGE","Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam",43
"VIRUGAMPAKKAM - 22",JAGADISH.S,"Republican Party of India (Athawale)",462
"VIRUGAMPAKKAM - 22","ALEX PANDIAN.K",Independent,36
"VIRUGAMPAKKAM - 22",ESAKKIMUTHUNADAR.P,Independent,36
"VIRUGAMPAKKAM - 22",EZHILRAJ.D,Independent,52
"VIRUGAMPAKKAM - 22",KARTHICK.M,Independent,41
"VIRUGAMPAKKAM - 22",KUMAR.S,Independent,63
"VIRUGAMPAKKAM - 22",GOPINATH.G,Independent,82
"VIRUGAMPAKKAM - 22",SANKAR.E,Independent,66
"VIRUGAMPAKKAM - 22","CHANDRA SEKAR.K",Independent,88
"VIRUGAMPAKKAM - 22",SABARINATHAN.P,Independent,124
"VIRUGAMPAKKAM - 22",SRINIVASAN.M,Independent,101
"VIRUGAMPAKKAM - 22",DINESHKUMAR.N,Independent,122
"VIRUGAMPAKKAM - 22",RANGARAJ.G,Independent,91
"VIRUGAMPAKKAM - 22",RAVIKUMAR,Independent,107
"VIRUGAMPAKKAM - 22",LUKMANBABU.S,Independent,50
"VIRUGAMPAKKAM - 22",VENKATESAN.C,Independent,20
"VIRUGAMPAKKAM - 22",NOTA,"None of the Above",1030
"SAIDAPET - 23","KUMARAN. G.P","Bahujan Samaj Party",571
"SAIDAPET - 23","SUBRAMANIAN. MA","Dravida Munnetra Kazhagam",52691
"SAIDAPET - 23","SRIVIDYA. G","Naam Tamilar Katchi",5918
"SAIDAPET - 23","ARUL PRAKASAM. M","Tamilaga Vettri Kazhagam",81205
"SAIDAPET - 23","SENTHAMIZHAN. G","Amma Makkal Munnettra Kazagam",17839
"SAIDAPET - 23","SOUNDARARAJAN. N","Naam Indiar Party",132
"SAIDAPET - 23","PARTHIBAN. S","MGR Makkal Katchi",131
"SAIDAPET - 23","ANAND. S",Independent,66
"SAIDAPET - 23","KANDHASAMY. R (ALIAS) BABU",Independent,64
"SAIDAPET - 23","PRASAD. N",Independent,93
"SAIDAPET - 23","PRITHVIRAJ. A",Independent,93
"SAIDAPET - 23","YOGAPRAKASH. B",Independent,158
"SAIDAPET - 23","RAJA. R",Independent,258
"SAIDAPET - 23","VALARMATHI. P",Independent,139
"SAIDAPET - 23","GINGSTON. M",Independent,119
"SAIDAPET - 23",NOTA,"None of the Above",924
"THIYAGARAYANAGAR - 24","ANUSHA V","Naam Tamilar Katchi",4554
"THIYAGARAYANAGAR - 24","SATHIYANARAYANAN B","All India Anna Dravida Munnetra Kazhagam",38605
"THIYAGARAYANAGAR - 24","RAJA ANBAZHAGAN","Dravida Munnetra Kazhagam",37017
"THIYAGARAYANAGAR - 24","ANAND N","Tamilaga Vettri Kazhagam",51632
"THIYAGARAYANAGAR - 24","RAVI M L","Desiya Makkal Sakthi Katchi",108
"THIYAGARAYANAGAR - 24","ABUKITHER M",Independent,123
"THIYAGARAYANAGAR - 24","ARAVIND GOSH Y T",Independent,30
"THIYAGARAYANAGAR - 24","EASAN NATARAJAN T",Independent,41
"THIYAGARAYANAGAR - 24","KUMAR SRI SRI B",Independent,22
"THIYAGARAYANAGAR - 24","SATHISH KUMAR B",Independent,31
"THIYAGARAYANAGAR - 24","GNANASEKARAN G",Independent,44
"THIYAGARAYANAGAR - 24","THENNARASU P",Independent,17
"THIYAGARAYANAGAR - 24","PADMINI NARASIMHAN",Independent,124
"THIYAGARAYANAGAR - 24","BADRI S",Independent,79
"THIYAGARAYANAGAR - 24","BALAJI S",Independent,29
"THIYAGARAYANAGAR - 24","PRASATH D",Independent,45
"THIYAGARAYANAGAR - 24","MANIKANDAN T",Independent,36
"THIYAGARAYANAGAR - 24","MANIKANDAN N",Independent,79
"THIYAGARAYANAGAR - 24","MOORTHY N",Independent,64
"THIYAGARAYANAGAR - 24","MYTHILI C",Independent,86
"THIYAGARAYANAGAR - 24","RAMKUMAR L",Independent,31
"THIYAGARAYANAGAR - 24","RAMACHANDRAN O N",Independent,74
"THIYAGARAYANAGAR - 24","RAJESH E",Independent,67
"THIYAGARAYANAGAR - 24","VETRIVEL K",Independent,68
"THIYAGARAYANAGAR - 24",JAYAVEL,Independent,23
"THIYAGARAYANAGAR - 24","JOTHIRAJ G M",Independent,21
"THIYAGARAYANAGAR - 24",NOTA,"None of the Above",878
"MYLAPORE - 25","ARUN. R.L","Naam Tamilar Katchi",4499
"MYLAPORE - 25","DR. TAMILISAI SOUNDARARAJAN","Bharatiya Janata Party",32328
"MYLAPORE - 25","BALAJI. V","Bahujan Samaj Party",267
"MYLAPORE - 25","VELU. DHA","Dravida Munnetra Kazhagam",41098
"MYLAPORE - 25","DEVENDRAN. R","Tamizhaga Murpokku Makkal Katchi",145
"MYLAPORE - 25","NAGARAJAN. S","All India Jananayaka Makkal Kazhagam",88
"MYLAPORE - 25","MOORTHY. S","Thamizhaga Dravidar Katchi",120
"MYLAPORE - 25","MOHANRAJ. J","Jebamani Janata",265
"MYLAPORE - 25","VENKATARAMANAN. P","Tamilaga Vettri Kazhagam",70070
"MYLAPORE - 25","SELVAMUTHU. S",Independent,79
"MYLAPORE - 25","PARTHIPAN. G",Independent,64
"MYLAPORE - 25","RADHAKRISHNAN. G",Independent,40
"MYLAPORE - 25","ROMANRAJ. A",Independent,74
"MYLAPORE - 25","VINU PRADHA. A",Independent,109
"MYLAPORE - 25","VIJAYALAKSHMI. P",Independent,227
"MYLAPORE - 25","VIJAYA KRISHNA. V",Independent,142
"MYLAPORE - 25","VENKATARAMAN. B",Independent,107
"MYLAPORE - 25","VELU. K",Independent,50
"MYLAPORE - 25","JAYAGOPI. M",Independent,52
"MYLAPORE - 25",NOTA,"None of the Above",770
"VELACHERY - 26","AASSAN MAULAANA J.M.H","Indian National Congress",45928
"VELACHERY - 26","ASHOK. M.K","All India Anna Dravida Munnetra Kazhagam",47125
"VELACHERY - 26","KEERTHANA. M","Naam Tamilar Katchi",7697
"VELACHERY - 26","MOHANRAJ. K","Bahujan Samaj Party",239
"VELACHERY - 26","KANCHANA. R","Tamizhaga Murpokku Makkal Katchi",205
"VELACHERY - 26","KUMAR. R","Tamilaga Vettri Kazhagam",80430
"VELACHERY - 26","POYYAMOZHI. M","Proutist Sarva Samaj",130
"VELACHERY - 26","MANI. M","Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi",133
"VELACHERY - 26","MOHAMED YASEEN. I","Thakkam Katchi",51
"VELACHERY - 26","ROKESH KUMAR. V","Tamizhaga Vaazhvurimai Katchi",117
"VELACHERY - 26","ASHOK. M",Independent,88
"VELACHERY - 26","AZARUTHEEN. M",Independent,63
"VELACHERY - 26","AHAMMED NAZEER KHAN",Independent,24
"VELACHERY - 26","KANNAN. K",Independent,85
"VELACHERY - 26","KALA PETHACHI",Independent,233
"VELACHERY - 26","SARABESHWAR SISU. P",Independent,129
"VELACHERY - 26","SURESH K",Independent,137
"VELACHERY - 26","DIWAKAR. R",Independent,130
"VELACHERY - 26","DEEPAK RAVI",Independent,27
"VELACHERY - 26","BHASKAR. G",Independent,47
"VELACHERY - 26","MOHAN. R",Independent,32
"VELACHERY - 26","RADHAKRISHNAN. D.R",Independent,143
"VELACHERY - 26","RAJASEKAR. S",Independent,61
"VELACHERY - 26",RITISH,Independent,12
"VELACHERY - 26","VIGNESH. M",Independent,70
"VELACHERY - 26","VIGNESH. R",Independent,66
"VELACHERY - 26","JANAGARAJ RAVI GUNASEELAN",Independent,77
"VELACHERY - 26",NOTA,"None of the Above",1336
"SHOZHINGANALLUR - 27","S. ARAVIND RAMESH","Dravida Munnetra Kazhagam",123602
"SHOZHINGANALLUR - 27",K.P.KANDAN,"All India Anna Dravida Munnetra Kazhagam",74112
"SHOZHINGANALLUR - 27","S.PUSHNA KUMAR","Bahujan Samaj Party",524
"SHOZHINGANALLUR - 27","R JAYALAKSHMI","Naam Tamilar Katchi",21919
"SHOZHINGANALLUR - 27","M. ALEXANDAR","Naam Indiar Party",123
"SHOZHINGANALLUR - 27","M. CHRISTHU DASS","Dravida Jananayaga Makkal Katchi",484
"SHOZHINGANALLUR - 27","ECR P SARAVANAN","Tamilaga Vettri Kazhagam",220382
"SHOZHINGANALLUR - 27",M.G.RAMU,"Jebamani Janata",319
"SHOZHINGANALLUR - 27","K. VISHWANATHAN","All India Puratchi Thalaivar Makkal Munnettra Kazhagam",257
"SHOZHINGANALLUR - 27","R RAVICHANDRAN",Independent,185
"SHOZHINGANALLUR - 27","V. KANDHAN",Independent,104
"SHOZHINGANALLUR - 27","S. KARTHIK",Independent,213
"SHOZHINGANALLUR - 27",S.GOVINDHAN,Independent,150
"SHOZHINGANALLUR - 27","P.CHANDRA KANTH",Independent,115
"SHOZHINGANALLUR - 27",CHANDRASEKARAN,Independent,176
"SHOZHINGANALLUR - 27","D. SRINIVASAN",Independent,254
"SHOZHINGANALLUR - 27","G SURESH KUMAR",Independent,413
"SHOZHINGANALLUR - 27","N.PRASHANTHA RAO",Independent,526
"SHOZHINGANALLUR - 27","A.MOHAMMED GANI",Independent,101
"SHOZHINGANALLUR - 27",MUTHARASAN,Independent,65
"SHOZHINGANALLUR - 27","E. MURALI B.A",Independent,157
"SHOZHINGANALLUR - 27",R.YOGESHWARAN,Independent,115
"SHOZHINGANALLUR - 27","RAMANATHAN M",Independent,263
"SHOZHINGANALLUR - 27",RAJESH,Independent,160
"SHOZHINGANALLUR - 27","E. VIJAY",Independent,256
"SHOZHINGANALLUR - 27","FARMER JAYARAMAN S K J",Independent,115
"SHOZHINGANALLUR - 27","JAIKUMAR BALACHANDRAN",Independent,124
"SHOZHINGANALLUR - 27",NOTA,"None of the Above",2079
"ALANDUR - 28",T.M.ANBARASAN,"Dravida Munnetra Kazhagam",82596
"ALANDUR - 28",S.SARAVANAN,"All India Anna Dravida Munnetra Kazhagam",52243
"ALANDUR - 28",Y.G.MAHALAKSHMI,"Naam Tamilar Katchi",10405
"ALANDUR - 28","J.AGNI SELVARASU","Naadaalum Makkal Katchi",233
"ALANDUR - 28","ARAVIND CHANDRASEKAR","Indhu Dravida Makkal Katchi",77
"ALANDUR - 28","B. KALYANARAMKUMAR","Naam Indiar Party",60
"ALANDUR - 28",S.ROYAPPAN,"Tamizhaga Vaazhvurimai Katchi",89
"ALANDUR - 28",A.VELUSAMY,"Puthiya Tamilagam",93
"ALANDUR - 28","N.HARI KRISHNAN","All India Puratchi Thalaivar Makkal Munnettra Kazhagam",317
"ALANDUR - 28",M.HARISH,"Tamilaga Vettri Kazhagam",112205
"ALANDUR - 28",V.ANBARASAN,Independent,120
"ALANDUR - 28",A.SARAVANAN,Independent,78
"ALANDUR - 28",S.SARAVANAN,Independent,76
"ALANDUR - 28",D.SARAVANAN,Independent,50
"ALANDUR - 28",R.SARAVANAN,Independent,150
"ALANDUR - 28",R.SURESH,Independent,168
"ALANDUR - 28","SENKODI VIJAYALAKSHMI",Independent,233
"ALANDUR - 28",R.SELVAKUMAR,Independent,69
